trans_id,trans_sales_amt,customer_name,category
63727,300026,NAR,838
52676,292138,OZM,133
18315,325898,RWB,1152
62700,379470,JVU,78
61209,492989,BJJ,687
23720,331234,DDW,138
280,236028,XOQ,663
52923,464988,FPD,1290
23388,311640,OBU,382
50680,490133,RRC,1340
52630,486837,SNS,1009
15593,255251,RTU,485
46739,100943,KPX,372
17141,100102,ELS,572
9134,302751,RFO,1037
60531,479354,EUG,528
33730,129219,OZQ,252
29118,250257,URZ,842
53321,453425,VTM,1211
41440,363971,TPP,44
36884,205977,AUQ,841
51970,418433,AJQ,1272
10316,478336,WGJ,511
3181,91953,YQN,713
23662,12092,AEN,651
18324,405599,DYN,1130
12936,146467,LSM,831
53284,105525,DTU,1339
6090,161490,DAY,803
10914,177365,GPM,1008
8557,169773,ZKW,81
35922,222467,WBN,961
4333,265766,JVK,1044
27982,179624,IHA,559
53458,345993,NLI,1348
38579,309501,NTU,766
37842,58643,JVK,1356
9062,177658,PIF,441
48411,328309,TBH,1172
24945,427150,ZQR,760
36822,414877,OFS,494
28212,46019,MXM,752
16900,430760,UAD,955
38262,60349,UEF,351
774,232468,YLV,1272
41741,159803,PAO,302
20722,90303,BUS,1061
20683,114596,ZRO,1210
4560,173465,MDL,552
25616,284946,AXV,1285
3761,226758,ZJF,258
9404,165523,TVT,637
55989,360106,JKM,1312
33568,88309,RTX,71
38589,53413,CBW,847
64817,398181,RVN,1050
51858,342706,DFR,378
46339,493370,AHB,1230
39351,83023,YYU,576
64525,217030,HTI,1137
12561,162397,SGI,1086
55823,392183,NMN,1265
14237,369576,YCW,261
59761,204361,YWC,722
45582,118699,HAT,448
54664,464100,KQK,1325
47942,158506,MJD,965
31859,203574,UVX,123
61256,456302,IDB,426
28563,73265,TUG,1290
61412,320838,LWB,140
14083,110086,BGV,235
59375,261943,GUB,621
28005,78192,FPJ,9
18208,222939,PJY,799
44937,14859,DNL,1054
48170,328097,STG,342
46652,135792,TKL,1126
20001,321649,NIN,507
17034,343577,ZPM,1089
54392,329112,SGB,374
19837,395733,KZN,161
61175,118419,QBE,371
44148,388565,RMW,1103
13836,5552,HXO,1277
16274,56834,TSU,264
48301,400250,CUE,1296
5373,140343,RXT,728
19639,254794,RCE,33
44408,499849,GFY,1401
63603,402407,EXU,1290
30413,273599,ARI,1079
42813,228558,EMN,605
49719,441787,DHE,558
3699,194229,PQV,563
26105,22722,KDS,425
64061,247031,ZBV,1129
8129,330383,REY,462
48054,308666,XYE,1178
35903,485985,WTT,1013
21996,315027,ZBE,367
49531,91428,THX,60
30608,454122,YTZ,398
31530,73926,HFN,175
13071,184331,GOY,642
57483,395730,BJP,395
51424,252264,TAK,1335
49886,189140,OWI,587
33852,297686,BZP,606
57599,415769,OUN,550
55352,426409,RFY,943
48888,53633,KXP,1284
4144,381184,QWZ,451
39382,61866,CHV,1339
64690,52254,TFV,329
53883,60169,TWW,1287
42003,413810,MYA,35
17583,272734,AAF,292
21694,421720,VMK,577
27261,273474,EIZ,974
61669,373312,QEE,975
662,282675,LLO,1403
58261,409572,YTM,1397
36657,495150,BTE,1483
41526,115953,RHO,414
10544,119484,FUM,72
48906,232488,SVH,472
12775,175540,ILZ,243
54261,274048,RQJ,277
28648,48866,DVJ,109
51621,303627,BIW,791
43252,86655,OBK,232
28404,450730,RSF,1049
61606,84193,VSF,1246
15732,6787,FRZ,720
41592,486396,DEZ,1362
22983,26283,RJW,346
42404,306665,GZA,951
42070,246074,SZX,432
32078,143086,RRT,899
7030,380898,VJK,1016
21311,388376,GZK,408
46762,53301,LSO,1382
30008,61810,FHF,1178
41686,210422,TKO,446
8520,198968,ZTB,116
5557,156799,TFB,309
48897,124045,HET,1002
20568,168238,ZRB,554
48600,438550,URB,1202
53229,34964,TEC,1308
46579,415244,QEX,689
50906,318220,MLX,359
3926,307320,TEX,315
49097,424026,VQG,1242
17635,422688,EMT,492
49509,393005,EBW,1489
40421,288363,BFQ,405
37073,430978,POZ,597
16960,95562,QHI,878
47813,230524,HAJ,1341
24780,57411,MEO,127
52714,294250,SDG,659
40134,71958,BMM,1453
54588,42760,DLN,1311
46200,55617,KLC,732
5071,168303,PXE,1418
37043,385418,RNV,1388
13888,255761,BXU,400
39340,362536,QKC,1202
50231,443455,EPU,1179
63051,36717,KUA,161
56575,290359,FEU,685
7929,335439,FPH,24
63803,361151,FZE,235
32962,264942,OJC,1221
4715,196868,CFX,551
10819,248760,LAE,116
15552,20114,GDE,1181
19933,489123,HYM,1464
15335,109281,FLV,351
37038,258146,LDJ,1305
22838,489552,ORP,791
23650,307369,QTZ,1248
29878,62330,TJB,904
33355,439976,OLV,557
59301,369249,PGA,1493
3527,475684,RHY,565
16325,342188,UXD,1339
55642,110661,IPU,390
24054,128786,UZB,168
33203,421096,AJW,941
55448,176732,UQF,888
35159,54185,CBL,286
12931,16612,SFB,234
55232,418451,GDK,754
58709,121251,FDL,616
61477,347853,JVN,305
38603,352301,MUC,349
24923,380570,UTT,196
61238,330057,XFS,1216
23551,43013,DLL,1392
55543,165655,TQX,455
58554,429300,LND,1065
59742,268423,FAP,460
37033,467099,QGA,475
34195,326810,VFH,1036
59876,144764,AUU,787
59899,358640,DZG,1076
34794,340132,LNB,1397
4067,246330,XSH,694
20039,297979,QRX,896
59876,158811,DBO,1197
48296,111774,GTG,1345
49419,457012,QLV,714
37456,68759,JMG,390
35034,315350,SIF,455
54390,27281,LRP,1398
21198,494242,QAF,751
40086,378531,QLH,783
12780,260163,VKE,890
19466,305486,RTH,183
22604,345806,GMA,1316
59797,114988,ZQI,281
49597,293874,EXJ,201
29538,146807,MNV,1449
16259,101530,ALX,1488
28426,461812,SQV,345
194,336399,UGC,229
52838,142337,KCB,1208
53162,319877,HME,906
10965,110686,RJE,184
34604,234772,AAT,1098
44538,1161,RQQ,477
12469,292931,QXF,940
6924,260123,GRW,214
9116,124763,MCZ,446
895,229139,OPU,12
39729,86884,QSC,36
63183,104657,LDU,760
39357,336593,OHU,759
35683,393630,HPB,722
57034,393128,ICK,55
35568,96460,KVX,601
30159,112,NDO,1066
64580,438290,GZJ,1412
42767,205796,UAR,1033
35723,452597,JPT,1289
47589,493896,AEK,1386
9591,217324,HWT,842
25329,245498,WYV,343
7347,420021,FAK,1075
60557,415006,TLM,51
61150,197468,AMV,1459
16065,461500,IDU,620
11381,408802,HNV,556
37244,194999,XGH,639
17075,408212,ZYA,1285
10164,43298,UZR,1000
1822,453196,XBQ,685
33987,324866,FKB,1311
63512,210800,XNJ,931
32226,320983,XBI,1458
63477,48804,AWA,522
51790,91088,GIG,392
23019,171258,SNB,482
58617,293205,BIW,1028
39482,31064,MVG,714
32367,455017,GJA,684
59357,160312,CHK,1465
14487,335987,MGN,700
58319,243699,LQV,534
52481,304911,CIO,958
2775,467787,HSY,785
13304,87795,VOJ,206
12527,95210,ESY,721
63471,452041,IVN,332
44672,423666,GJR,789
25311,177238,ANS,490
11191,208143,VFV,1205
1753,380905,MNS,542
62286,253319,KBC,80
30694,235730,YVY,1472
60567,97244,VAS,1006
10921,121606,ZDU,1245
46292,226122,TVJ,1494
29189,255257,OIZ,414
13005,268344,PEU,517
52274,10375,HQH,336
18505,245305,YMX,945
57391,97618,CDN,776
54702,497713,LUX,816
27354,27617,HFW,1154
46023,476402,OBW,646
17502,139010,HOU,664
59069,96863,GBD,618
24370,326480,PWG,816
13277,49026,NSN,141
62423,107917,FBO,708
23074,177090,EUN,1323
49516,142216,QEY,1494
10136,94887,HJP,21
49446,227656,DYN,1281
47350,263659,RJL,1216
15345,349127,AHM,1137
3797,366671,FHT,675
55174,495813,MDY,473
25989,65666,WYB,980
52498,375121,LBW,195
30887,460218,XII,1470
25149,366357,VRJ,48
3615,419672,MCI,753
63125,249862,ULW,804
1070,477207,EQC,320
10617,496085,NWC,974
11151,463426,SNH,936
51316,4991,GWL,615
45945,112417,RGQ,965
23893,288264,ZGZ,582
41893,227347,RBF,1451
27053,89248,OPQ,677
38129,239030,DOR,970
49516,94869,JVY,786
21227,233619,KAM,1251
10018,221237,IXQ,28
5309,253203,LRZ,1372
13255,66314,TPI,677
47066,124448,IUW,383
36623,63435,GGI,286
60466,19067,EVF,662
26003,271099,ZFG,741
62763,215487,QMP,1112
58556,197685,QGI,755
21702,470118,FVP,854
54918,204702,ZVF,1340
32097,308467,LMH,1296
15523,16053,YPT,384
44613,250899,YXG,723
55117,271954,MUA,1392
13922,23316,RSH,1384
30642,307602,LLU,1208
35051,273369,NGS,1035
29667,468524,CRA,1254
34708,61226,CXB,925
25730,5962,GPS,1410
3636,389630,XSS,437
22491,375784,GKH,171
62503,463188,QLV,615
60313,201587,AWL,358
59081,314980,HWG,1217
52963,207574,TAL,1341
32173,139468,MIY,402
25256,453827,GEA,914
41045,234669,LFQ,205
12389,196592,ALD,121
20661,206175,DQJ,847
59364,275038,JYM,178
24623,337970,JZF,1391
55904,143885,HZH,267
20437,258103,WGG,105
40633,124691,QOJ,1335
46995,477060,SRV,1473
49991,107674,RFM,969
508,267089,IMZ,579
57064,466513,YNU,239
12590,454953,JQC,1294
48819,119842,WCA,575
62581,138909,ZBI,268
20925,69347,PUT,375
45197,299310,RXD,1254
39019,316470,FMR,943
39922,46986,BGJ,1264
24111,431531,IYX,413
38684,181704,MUF,1133
30049,275262,GKD,706
46200,154189,ICI,1323
61131,436844,AHC,291
6660,485052,BVQ,401
11201,366144,CJF,35
64937,397661,BYI,54
45457,82120,JOX,630
23462,395224,NYZ,701
16598,380400,WYL,583
7700,296757,NPL,324
48975,250568,XTS,1172
49130,424951,DHB,1046
32619,90176,SSK,1496
3553,272187,BED,1124
19063,298636,NXN,788
12835,93317,YAT,667
660,171330,SGF,503
32253,63388,SRQ,1235
12720,398883,ROL,510
50224,162280,YEL,653
48873,421120,AVG,704
20807,54803,THY,1314
20674,203660,GWU,387
24055,321623,KDW,513
58477,250960,UAK,265
63670,75709,MUX,1414
333,455207,KHE,713
24219,149240,SBG,954
25147,420970,XFW,1369
64119,435155,SAS,983
52530,347424,PCK,959
36676,396029,ZPU,440
56362,110830,VNX,201
47519,246560,HFA,28
40785,256876,MVX,77
48631,321691,OYX,251
40694,277981,ZXN,176
22201,89066,DWV,132
7408,188473,DPP,568
27356,195425,CWT,326
41273,38638,REE,1075
63600,242815,VAH,340
52218,33791,MBI,832
44731,283011,ANK,118
41063,458782,DCT,1279
11198,417304,FUN,216
22767,77955,UTL,691
57838,168943,KMX,777
37178,113082,BXB,1111
4147,346860,LAP,817
58911,13182,TTD,203
6554,252256,URQ,396
50997,459533,WVM,936
731,159744,RBQ,315
52467,181402,TCI,980
24547,59116,MYV,1033
3978,31108,WIP,906
4387,119696,HLM,1114
13678,65681,TGF,1269
23148,98573,FYR,597
